,Clave municipal,Predicción 2,Predicción 3
Febrero,9005,11.0,
Febrero,9007,,20.0
Febrero,14097,,13.0
Febrero,14098,,23.0
Febrero,14101,,5.0
Febrero,14039,,22.0
Febrero,14120,,15.0
Febrero,15005,,0.0
Febrero,15033,,16.0
Febrero,15051,,0.0
Febrero,15054,,0.0
Febrero,15058,,15.0
Febrero,15106,,4.0
Febrero,15118,,0.0
Febrero,19019,,0.0
Febrero,19026,,1.0
Febrero,19039,,21.0
Febrero,19046,,7.0
Febrero,19049,,0.0
Febrero,21015,,2.0
Febrero,21041,,0.0
Febrero,21114,,1.0
Febrero,21119,,0.0
Febrero,21132,,4.0
Febrero,21140,,0.0
